Region,Type,UnitCode,ParkName,State,Year,Month,Visitors,Camping,OtherLodging,OtherCamping
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2016,4,"8,161",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2016,5,"23,537",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2016,6,"26,436",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2016,7,"29,380",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2016,8,"37,333",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2016,9,"32,208",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2016,10,"31,823",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2016,11,"7,547",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2016,12,455,0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2010,1,"3,142",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2010,2,"4,223",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2010,3,"10,091",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2010,4,"13,529",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2010,5,"13,827",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2010,6,"10,200",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2010,7,"12,486",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2010,8,"13,424",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2010,9,"10,480",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2010,10,"13,016",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2010,11,"7,926",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2010,12,"4,769",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2011,1,"2,069",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2011,2,"7,523",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2011,3,"6,994",0,0,0
